athlete,gender,timestamp,distance (m),elapsed time (s),elevation gain (m),average heart rate (bpm),M/S,K/H,T/K,distance_group
27479582,M,11/05/2019 10:29,966.3,199,2.0,,4.855778894472362,17.480804020100503,3.4323364034633825,500-1000
27479582,M,17/03/2019 09:32,850.7,331,8.5,,2.570090634441088,9.252326283987916,6.4848556091062255,500-1000
27479582,M,03/03/2019 14:24,957.3,207,0.0,,4.62463768115942,16.648695652173913,3.603885929175807,500-1000
27479582,M,08/02/2019 18:26,804.3,335,6.5,,2.40089552238806,8.643223880597015,6.94185420033984,500-1000
27479582,M,08/02/2019 17:10,830.4,306,6.2,,2.7137254901960786,9.769411764705882,6.141618497109826,500-1000
27479582,M,03/02/2019 06:20,880.9,366,2.1,,2.406830601092896,8.664590163934427,6.924736065387671,500-1000
27479582,M,19/12/2018 13:45,823.7,336,0.0,,2.4514880952380955,8.825357142857143,6.798591720286511,500-1000
27479582,M,12/05/2018 13:00,965.7,211,2.1,,4.576777251184835,16.476398104265407,3.641572607089848,500-1000
27479582,M,10/05/2018 13:38,781.0,184,2.6,,4.244565217391305,15.280434782608696,3.9265898420828,500-1000
27479582,M,02/05/2018 14:37,977.7,214,2.1,188.0,4.568691588785047,16.44728971962617,3.6480174559339935,500-1000
27479582,M,04/04/2018 14:28,976.5,207,4.1,189.3,4.717391304347826,16.982608695652175,3.5330261136712746,500-1000
27479582,M,31/03/2018 18:58,598.8,173,11.4,186.2,3.4612716763005777,12.46057803468208,4.8151859274103765,500-1000
27479582,M,21/03/2018 15:33,983.8,213,4.1,163.4,4.618779342723005,16.62760563380282,3.608457003455986,500-1000
27479582,M,24/01/2018 14:26,462.5,206,0.0,139.6,2.245145631067961,8.08252427184466,7.423423423423424,100-500
13829937,F,31/01/2019 16:17,661.6,265,0.0,,2.496603773584906,8.98777358490566,6.675735590487706,500-1000
13829937,F,20/01/2017 16:07,891.9,339,0.0,149.2,2.6309734513274337,9.47150442477876,6.3347908958403405,500-1000
13829937,F,12/04/2016 10:08,172.7,36,0.0,175.9,4.797222222222222,17.269999999999996,3.474232773595832,100-500
13829937,F,12/04/2016 10:06,186.5,40,0.0,177.4,4.6625,16.785,3.5746201966041107,100-500
13829937,F,12/04/2016 10:04,387.6,88,0.0,181.0,4.404545454545455,15.856363636363636,3.783969728242174,100-500
13829937,F,12/04/2016 10:02,384.7,95,0.0,176.0,4.049473684210526,14.578105263157894,4.115761199202842,100-500
13829937,F,12/04/2016 10:00,379.4,99,0.0,173.1,3.832323232323232,13.796363636363637,4.348972061149183,100-500
13829937,F,12/04/2016 09:57,376.3,102,0.0,165.2,3.68921568627451,13.281176470588235,4.51767207015679,100-500
13829937,F,12/04/2016 09:54,390.4,105,0.0,163.7,3.7180952380952377,13.385142857142856,4.482581967213116,100-500
13829937,F,12/04/2016 09:51,375.2,102,0.0,166.5,3.6784313725490194,13.24235294117647,4.53091684434968,100-500
13829937,F,12/04/2016 09:49,386.1,103,0.0,163.9,3.748543689320389,13.4947572815534,4.446171112837779,100-500
13829937,F,12/04/2016 09:44,574.4,151,0.0,159.1,3.803973509933775,13.69430463576159,4.381383472609099,500-1000
12740383,F,23/10/2019 08:36,510.0,214,0.0,135.2,2.383177570093458,8.57943925233645,6.993464052287581,500-1000
12740383,F,23/08/2019 07:31,797.0,302,6.0,149.6,2.6390728476821192,9.50066225165563,6.315349226265161,500-1000
12740383,F,13/07/2019 05:36,135.0,45,0.0,100.1,3.0,10.8,5.555555555555555,100-500
12740383,F,18/05/2019 05:19,984.0,384,3.0,149.8,2.5625,9.225,6.504065040650406,500-1000
12740383,F,12/05/2018 04:48,188.0,80,0.0,,2.35,8.46,7.092198581560283,100-500
12740383,F,15/03/2018 19:17,770.0,302,4.1,120.5,2.5496688741721854,9.178807947019868,6.536796536796537,500-1000
12740383,F,04/06/2017 04:42,831.4,356,29.3,,2.3353932584269663,8.40741573033708,7.136556811803382,500-1000
12740383,F,20/04/2017 10:18,825.0,95,0.0,,8.68421052631579,31.26315789473684,1.9191919191919191,500-1000
12740383,F,10/04/2017 14:47,430.6,13,0.0,,33.12307692307692,119.24307692307691,0.5031738659235175,100-500
12740383,F,14/02/2017 17:15,822.8,41,0.0,,20.068292682926828,72.24585365853657,0.830497488251499,500-1000
12740383,F,15/10/2016 10:42,43.0,3,0.0,,14.333333333333334,51.6,1.162790697674419,0-100
12740383,F,19/09/2016 11:49,601.3,69,0.0,,8.714492753623187,31.372173913043472,1.912522867121237,500-1000
12740383,F,21/07/2016 16:06,874.3,12,0.0,,72.85833333333333,262.29,0.2287544321171222,500-1000
12740383,F,15/07/2016 16:09,752.7,13,0.0,,57.900000000000006,208.44000000000003,0.287852619458837,500-1000
12740383,F,13/07/2016 10:32,945.4,87,0.0,,10.866666666666667,39.12,1.5337423312883436,500-1000
12740383,F,10/07/2016 10:41,506.1,193,0.0,,2.622279792746114,9.44020725388601,6.355792662846605,500-1000
12740383,F,16/06/2016 10:33,787.7,92,0.0,,8.56195652173913,30.823043478260868,1.9465955736109348,500-1000
12740383,F,06/05/2016 16:53,879.0,49,0.0,,17.93877551020408,64.57959183673469,0.9290860826697004,500-1000
12740383,F,05/05/2016 15:24,805.0,83,0.0,,9.698795180722891,34.915662650602414,1.7184265010351965,500-1000
12740383,F,20/04/2016 10:39,787.3,13,0.0,,60.56153846153846,218.02153846153848,0.2752021677463059,500-1000
12740383,F,31/03/2016 10:26,986.9,12,0.0,,82.24166666666666,296.07,0.2026547775863816,500-1000
12740383,F,31/12/2015 05:08,336.7,106,0.0,,3.1764150943396223,11.43509433962264,5.247005247005247,100-500
12740383,F,31/12/2015 03:32,184.7,30,0.0,,6.156666666666666,22.164,2.7070925825663235,100-500
6367873,M,06/01/2019 10:54,93.0,17,0.0,160.1,5.470588235294118,19.694117647058825,3.0465949820788527,0-100
6367873,M,18/05/2018 16:43,572.5,219,25.6,149.7,2.6141552511415527,9.41095890410959,6.375545851528384,500-1000
6367873,M,11/04/2018 17:45,662.7,249,2.0,140.3,2.6614457831325304,9.58120481927711,6.262260449675569,500-1000
6367873,M,16/08/2017 17:48,916.1,358,0.0,133.9,2.5589385474860338,9.212178770949722,6.513117199723465,500-1000
6367873,M,03/05/2017 09:49,321.4,144,0.0,133.9,2.2319444444444443,8.034999999999998,7.467330429371501,100-500
6367873,M,26/04/2017 17:46,583.3,239,2.5,146.7,2.440585774058577,8.786108786610878,6.828961654951712,500-1000
6367873,M,19/04/2017 17:40,884.1,341,2.3,151.2,2.59266862170088,9.333607038123167,6.428382912943483,500-1000
6367873,M,12/04/2017 17:43,964.5,413,2.6,129.7,2.335351089588378,8.40726392251816,7.136685674788319,500-1000
6367873,M,23/09/2016 17:39,909.0,308,0.0,141.6,2.9512987012987013,10.624675324675325,5.647231389805647,500-1000
6367873,M,17/11/2015 17:00,650.3,159,0.0,184.3,4.089937106918239,14.72377358490566,4.075042288174689,500-1000
6367873,M,31/10/2015 09:36,769.5,298,90.1,185.8,2.582214765100672,9.295973154362416,6.454407623998267,500-1000
6367873,M,27/09/2015 09:00,856.6,311,0.0,158.4,2.7543408360128616,9.915627009646302,6.051054556774846,500-1000
6367873,M,06/03/2015 15:01,402.5,175,0.0,107.6,2.3,8.28,7.246376811594203,100-500
6367873,M,28/02/2015 10:29,495.7,126,0.0,167.8,3.934126984126984,14.162857142857142,4.236433326608836,100-500
6367873,M,08/02/2015 10:11,988.5,246,0.0,180.8,4.0182926829268295,14.465853658536586,4.147698533131006,500-1000
6367873,M,16/11/2014 09:09,970.9,429,30.8,,2.263170163170164,8.147412587412587,7.364301163868576,500-1000
20653961,M,17/11/2019 10:23,979.4,360,12.0,,2.7205555555555554,9.794,6.12619971411068,500-1000
17639804,M,12/03/2018 11:06,963.3,345,9.0,135.4,2.792173913043478,10.051826086956522,5.9690646735181145,500-1000
17639804,M,09/09/2017 16:53,155.0,37,0.0,,4.1891891891891895,15.081081081081082,3.9784946236559136,100-500
17639804,M,15/02/2017 17:24,173.2,53,0.0,,3.2679245283018865,11.764528301886791,5.100076982294073,100-500
17639804,M,14/01/2017 06:26,47.2,10,7.0,108.4,4.720000000000001,16.992000000000004,3.5310734463276825,0-100
17639804,M,04/12/2016 07:16,783.7,232,17.0,126.4,3.3780172413793106,12.160862068965518,4.933860746033771,500-1000
17639804,M,20/03/2016 15:26,21.9,8,0.0,,2.7375,9.855,6.0882800608828,0-100
14474051,F,13/10/2019 09:34,849.7,221,4.0,137.9,3.844796380090498,13.841266968325792,4.334863285081009,500-1000
14474051,F,09/12/2018 08:45,310.0,74,3.5,,4.1891891891891895,15.081081081081082,3.9784946236559136,100-500
13275838,M,20/06/2018 17:49,674.4,275,0.0,,2.452363636363636,8.82850909090909,6.79616449189403,500-1000
13275838,M,06/06/2018 17:58,765.8,296,0.0,,2.587162162162162,9.313783783783784,6.44206494297902,500-1000
13275838,M,20/04/2018 19:28,699.9,72,0.0,,9.720833333333331,34.995,1.7145306472353194,500-1000
13275838,M,30/08/2017 17:29,105.2,42,0.0,,2.5047619047619047,9.017142857142856,6.653992395437263,100-500
13275838,M,20/07/2016 16:48,810.5,364,0.0,,2.226648351648352,8.015934065934067,7.4850915073000195,500-1000
13275838,M,11/07/2016 08:02,592.7,123,19.5,,4.818699186991871,17.347317073170732,3.4587481019065294,500-1000
13275838,M,08/06/2016 17:32,625.9,133,0.0,,4.706015037593985,16.941654135338343,3.5415668104596056,500-1000
13275838,M,08/06/2016 17:28,619.8,140,0.0,,4.427142857142857,15.937714285714286,3.764655265139292,500-1000
13275838,M,08/06/2016 17:24,620.8,143,0.0,,4.341258741258741,15.62853146853147,3.8391323024054977,500-1000
13275838,M,08/06/2016 17:21,621.3,143,0.0,,4.344755244755245,15.64111888111888,3.836042706153764,500-1000
13275838,M,08/06/2016 17:17,622.8,142,0.0,,4.385915492957746,15.789295774647888,3.800042817383858,500-1000
13275838,M,08/06/2016 17:13,620.3,144,0.0,,4.307638888888889,15.5075,3.869095598903757,500-1000
13275838,M,08/06/2016 17:09,621.6,143,0.0,,4.346853146853147,15.648671328671329,3.8341913341913343,500-1000
13275838,M,08/06/2016 17:05,633.4,140,0.0,,4.524285714285714,16.28742857142857,3.683822755499421,500-1000
13275838,M,01/06/2016 17:43,522.2,96,0.0,,5.439583333333334,19.582500000000003,3.063960168517809,500-1000
13275838,M,01/06/2016 17:40,517.0,106,0.0,,4.877358490566038,17.558490566037737,3.417150225660864,500-1000
13275838,M,01/06/2016 17:37,523.9,107,0.0,,4.89626168224299,17.62654205607476,3.403957498250304,500-1000
13275838,M,01/06/2016 17:33,516.0,104,0.0,,4.961538461538462,17.861538461538462,3.359173126614987,500-1000
