Gender,Name,Time,Distance,moyenne/athlete/3k,moyenne/générale/3k,Rapport(Athlete/moyenne)3k au KM,moyenne/athlete/5k,moyenne/générale/5k,Rapport(Athlete/moyenne)5k au km,moyenne/athlete/10k,moyenne/générale/10k,Rapport(Athlete/moyenne)10k au km,moyenne/athlete/21k,moyenne/générale/21k,Rapport(Athlete/moyenne)21k au km,moyenne/athlete/42k,moyenne/générale/42k,Rapport(Athlete/moyenne)42k au km,Score/athlete,T/K
M,l1022,2428.0,10000,,4.263705065359477,,,5.002747747747748,,4.046666666666667,5.3857201086956525,-1.3390534420289857,,5.641021691695546,,,5.949718491385158,,-1.3390534420289857,4.046666666666667
M,l1023,2430.0,10000,,4.263705065359477,,,5.002747747747748,,4.05,5.3857201086956525,-1.3357201086956527,,5.641021691695546,,,5.949718491385158,,-1.3357201086956527,4.05
M,l1024,2434.0,10000,,4.263705065359477,,,5.002747747747748,,4.056666666666667,5.3857201086956525,-1.329053442028986,,5.641021691695546,,,5.949718491385158,,-1.329053442028986,4.056666666666667
M,l1025,2438.0,10000,,4.263705065359477,,,5.002747747747748,,4.0633333333333335,5.3857201086956525,-1.322386775362319,,5.641021691695546,,,5.949718491385158,,-1.322386775362319,4.0633333333333335
M,l1026,2460.0,10000,,4.263705065359477,,,5.002747747747748,,4.1,5.3857201086956525,-1.285720108695653,,5.641021691695546,,,5.949718491385158,,-1.285720108695653,4.1
M,l1027,2463.0,10000,,4.263705065359477,,,5.002747747747748,,4.105,5.3857201086956525,-1.2807201086956521,,5.641021691695546,,,5.949718491385158,,-1.2807201086956521,4.105
M,l1028,2493.0,10000,,4.263705065359477,,,5.002747747747748,,4.155,5.3857201086956525,-1.2307201086956523,,5.641021691695546,,,5.949718491385158,,-1.2307201086956523,4.155
M,l1029,2503.0,10000,,4.263705065359477,,,5.002747747747748,,4.171666666666667,5.3857201086956525,-1.2140534420289857,,5.641021691695546,,,5.949718491385158,,-1.2140534420289857,4.171666666666667
M,l1030,2503.0,10000,,4.263705065359477,,,5.002747747747748,,4.171666666666667,5.3857201086956525,-1.2140534420289857,,5.641021691695546,,,5.949718491385158,,-1.2140534420289857,4.171666666666667
M,l1031,2524.0,10000,,4.263705065359477,,,5.002747747747748,,4.206666666666667,5.3857201086956525,-1.1790534420289855,,5.641021691695546,,,5.949718491385158,,-1.1790534420289855,4.206666666666667
M,l1032,2530.0,10000,,4.263705065359477,,,5.002747747747748,,4.216666666666667,5.3857201086956525,-1.1690534420289858,,5.641021691695546,,,5.949718491385158,,-1.1690534420289858,4.216666666666667
