Gender,Name,Time,Distance
F,l21341,8994.0,21000
F,l21342,9033.0,21000
F,l21343,9033.0,21000
F,l21344,9038.0,21000
F,l21345,9057.0,21000
F,l21347,9108.0,21000
F,l21349,9157.0,21000
F,l21350,9170.0,21000
F,l21354,9242.0,21000
F,l21355,9242.0,21000
F,l21356,9327.0,21000
F,l21357,9418.0,21000
F,l21358,9455.0,21000
F,l21359,9463.0,21000
F,l21361,9580.0,21000
F,l21363,9589.0,21000
F,l21364,10240.0,21000
F,l21365,10347.0,21000
F,l21366,10347.0,21000
F,l21367,10466.0,21000
F,l21373,5709.0,21000
M,l421,10062.0,42000
M,l422,11041.0,42000
M,l423,11261.0,42000
M,l424,11626.0,42000
M,l425,11697.0,42000
M,l426,11698.0,42000
M,l427,11789.0,42000
M,l428,11814.0,42000
M,l429,11941.0,42000
M,l4210,11994.0,42000
M,l4211,12051.0,42000
M,l4212,12117.0,42000
M,l4213,12195.0,42000
M,l4214,12277.0,42000
M,l4215,12290.0,42000
M,l4216,12396.0,42000
M,l4217,12430.0,42000
M,l4218,12499.0,42000
M,l4219,12559.0,42000
M,l4220,12617.0,42000
M,l4221,12694.0,42000
M,l4222,12708.0,42000
M,l4223,12724.0,42000
M,l4224,12821.0,42000
M,l4225,12903.0,42000
M,l4226,13020.0,42000
M,l4228,13071.0,42000
M,l4229,13098.0,42000
M,l4230,13110.0,42000
M,l4231,13189.0,42000
M,l4232,13369.0,42000
M,l4233,13373.0,42000
M,l4234,13439.0,42000
M,l4235,13464.0,42000
M,l4236,13587.0,42000
M,l4237,13605.0,42000
M,l4238,13646.0,42000
M,l4239,13690.0,42000
M,l4240,13871.0,42000
M,l4242,13880.0,42000
M,l4243,13979.0,42000
M,l4244,13981.0,42000
M,l4245,14074.0,42000
M,l4246,14080.0,42000
M,l4247,14081.0,42000
M,l4248,14220.0,42000
M,l4249,14242.0,42000
M,l4250,14268.0,42000
M,l4252,14393.0,42000
M,l4253,14495.0,42000
M,l4254,14813.0,42000
M,l4255,14935.0,42000
M,l4256,15111.0,42000
M,l4257,15112.0,42000
M,l4258,15247.0,42000
M,l4259,15314.0,42000
M,l4261,15433.0,42000
M,l4262,15522.0,42000
M,l4266,15649.0,42000
M,l4267,15675.0,42000
M,l4269,15759.0,42000
M,l4270,15774.0,42000
M,l4271,15809.0,42000
M,l4272,15891.0,42000
M,l4273,16030.0,42000
M,l4274,16033.0,42000
M,l4275,16058.0,42000
M,l4276,16064.0,42000
M,l4277,16104.0,42000
M,l4280,16223.0,42000
M,l4281,16223.0,42000
M,l4284,16486.0,42000
M,l4288,16748.0,42000
M,l4290,17042.0,42000
M,l4292,17111.0,42000
M,l4293,17126.0,42000
M,l4294,17250.0,42000
M,l4295,17495.0,42000
M,l4298,17754.0,42000
M,l4299,18021.0,42000
M,l42101,18235.0,42000
M,l42102,18324.0,42000
M,l42103,18565.0,42000
M,l42104,18790.0,42000
M,l42106,18867.0,42000
M,l42107,18985.0,42000
M,l42109,19531.0,42000
M,l42111,19704.0,42000
M,l42112,19895.0,42000
M,l42115,11414.0,42000
M,l42116,9465.0,42000
M,l42127,12596.0,42000
F,l4241,13879.0,42000
F,l4251,14367.0,42000
F,l4260,15314.0,42000
F,l4263,15554.0,42000
F,l4264,15614.0,42000
F,l4265,15636.0,42000
F,l4268,15680.0,42000
F,l4278,16124.0,42000
F,l4279,16204.0,42000
F,l4282,16258.0,42000
F,l4283,16444.0,42000
F,l4285,16542.0,42000
F,l4286,16636.0,42000
F,l4287,16686.0,42000
F,l4289,16977.0,42000
F,l4291,17048.0,42000
F,l4296,17650.0,42000
F,l4297,17737.0,42000
F,l42100,18039.0,42000
F,l42105,18792.0,42000
F,l42108,19444.0,42000
F,l42110,19663.0,42000
F,l42113,19909.0,42000
F,l42114,20006.0,42000
M,l5h0,932.0,5000
M,l5h1,944.0,5000
M,l5h2,995.0,5000
M,l5h3,1004.0,5000
M,l5h4,1056.0,5000
M,l5h5,1063.0,5000
M,l5h6,1068.0,5000
M,l5h7,1070.0,5000
M,l5h8,1091.0,5000
M,l5h9,1086.0,5000
M,l5h11,1122.0,5000
M,l5h12,1130.0,5000
M,l5h13,1136.0,5000
M,l5h14,1138.0,5000
M,l5h15,1138.0,5000
M,l5h16,1153.0,5000
M,l5h18,1179.0,5000
M,l5h19,1177.0,5000
M,l5h20,1187.0,5000
M,l5h21,1190.0,5000
M,l5h22,1196.0,5000
M,l5h23,1197.0,5000
M,l5h24,1202.0,5000
M,l5h25,1209.0,5000
M,l5h28,1223.0,5000
M,l5h29,1233.0,5000
M,l5h30,1241.0,5000
M,l5h32,1303.0,5000
M,l5h33,1312.0,5000
M,l5h34,1309.0,5000
M,l5h35,1316.0,5000
M,l5h37,1330.0,5000
M,l5h38,1327.0,5000
M,l5h40,1330.0,5000
M,l5h41,1322.0,5000
M,l5h44,1342.0,5000
M,l5h45,1352.0,5000
M,l5h46,1354.0,5000
M,l5h47,1360.0,5000
M,l5h48,1353.0,5000
M,l5h49,1362.0,5000
M,l5h50,1368.0,5000
M,l5h51,1371.0,5000
M,l5h52,1376.0,5000
M,l5h53,1376.0,5000
M,l5h54,1380.0,5000
M,l5h56,1392.0,5000
M,l5h57,1401.0,5000
M,l5h58,1394.0,5000
M,l5h59,1403.0,5000
M,l5h60,1405.0,5000
M,l5h61,1415.0,5000
M,l5h64,1433.0,5000
M,l5h65,1429.0,5000
M,l5h66,1437.0,5000
M,l5h67,1445.0,5000
M,l5h69,1449.0,5000
M,l5h72,1472.0,5000
M,l5h73,1471.0,5000
M,l5h75,1486.0,5000
M,l5h76,1499.0,5000
M,l5h77,1493.0,5000
M,l5h78,1501.0,5000
M,l5h82,1512.0,5000
